Kanit-Regular,E
Mirza-SemiBold,E
0.24881048500537872,0.10900147259235382
0.17924179136753082,0.09927117079496384
0.1125396192073822,0.10797149688005447
-0.06778993457555771,0.10888441652059555
-0.21475884318351746,0.10940048843622208
-0.25962814688682556,0.1342066377401352
-0.26197728514671326,0.27569580078125
-0.2650407552719116,0.4686407744884491
-0.24429349601268768,0.5534973740577698
-0.16813206672668457,0.563075840473175
-0.001624623779207468,0.5678788423538208
0.18729466199874878,0.5637130737304688
0.29989179968833923,0.5529540777206421
0.3348122239112854,0.5454760789871216
0.2059415578842163,0.5636011362075806
-0.09780606627464294,0.5706093311309814
-0.24113081395626068,0.5598471164703369
-0.26078006625175476,0.5098472237586975
-0.2607634365558624,0.3341089189052582
-0.25984832644462585,0.04549192264676094
-0.26010662317276,-0.16294214129447937
-0.2593476176261902,-0.25562891364097595
-0.24790190160274506,-0.2956118881702423
-0.22019143402576447,-0.32008135318756104
-0.1708541214466095,-0.33639174699783325
-0.06777913123369217,-0.34263119101524353
0.07592034339904785,-0.34327432513237
0.18098221719264984,-0.3403371572494507
0.24197697639465332,-0.33977389335632324
0.27116090059280396,-0.33883121609687805
