LifeSavers-ExtraBold,J
Taviraj-ExtraBold,J
-0.22392301261425018,-0.706796407699585
0.3441905975341797,-0.7104149460792542
0.16333207488059998,-0.7131462693214417
0.17582686245441437,-0.6133163571357727
0.172298401594162,-0.42190054059028625
0.16592808067798615,-0.13146336376667023
0.16648730635643005,0.13329385221004486
0.14716094732284546,0.33671635389328003
0.09412015229463577,0.48769575357437134
0.029134191572666168,0.5758699178695679
-0.03754635527729988,0.6189544200897217
-0.11397776752710342,0.6416556239128113
-0.19175904989242554,0.6448780298233032
-0.25315970182418823,0.6297705173492432
-0.2970649003982544,0.6055091619491577
-0.32766732573509216,0.5785032510757446
-0.3488341271877289,0.5517687797546387
-0.3634320795536041,0.5261899828910828
-0.3733043968677521,0.5024726390838623
-0.3794744908809662,0.48167723417282104
-0.38273319602012634,0.46423643827438354
-0.3838966488838196,0.4497085511684418
-0.38366711139678955,0.43729788064956665
-0.3825373351573944,0.4263072609901428
-0.38082295656204224,0.4162813723087311
-0.3787306547164917,0.40697982907295227
-0.3764086365699768,0.39830633997917175
-0.3739731013774872,0.3902442753314972
-0.3715188205242157,0.38280758261680603
-0.3691207766532898,0.37600916624069214
