LifeSavers-ExtraBold,J
Taviraj-ExtraBold,J
-0.2057095766067505,-0.5723148584365845
0.26492545008659363,-0.5862143039703369
0.08442436158657074,-0.5863751769065857
0.07390594482421875,-0.4846589267253876
0.06788474321365356,-0.2775152325630188
0.06923776865005493,0.040421146899461746
0.05867084115743637,0.34734925627708435
0.01892521046102047,0.5536693334579468
-0.031807754188776016,0.6531242728233337
-0.0770927146077156,0.6982680559158325
-0.11368025094270706,0.7188155651092529
-0.13976068794727325,0.7269577980041504
-0.1568606197834015,0.7300434112548828
-0.16800683736801147,0.7314816117286682
-0.1755545437335968,0.7325563430786133
-0.18097089231014252,0.7337621450424194
-0.1851387470960617,0.7352781295776367
-0.18858499825000763,0.7371575236320496
-0.19163145124912262,0.7394128441810608
-0.19448032975196838,0.7420259714126587
-0.19724495708942413,0.7449262142181396
-0.19996947050094604,0.7479959726333618
-0.2026604861021042,0.7511147856712341
-0.2053133100271225,0.7541900873184204
-0.20792405307292938,0.7571607828140259
-0.21049189567565918,0.7599883079528809
-0.2130190134048462,0.7626485824584961
-0.21550998091697693,0.7651268243789673
-0.21797126531600952,0.7674156427383423
-0.22041071951389313,0.7695132493972778
