Buenard-Regular,Q
Oxygen-Bold,Q
-0.04893758147954941,-0.5097037553787231
0.021130098029971123,-0.5140715837478638
0.09117032587528229,-0.5010654926300049
0.18295368552207947,-0.4811052978038788
0.25853848457336426,-0.44703441858291626
0.3266986310482025,-0.39192354679107666
0.39347147941589355,-0.3066324293613434
0.4534651041030884,-0.19231417775154114
0.4892202615737915,-0.06760437041521072
0.49572503566741943,0.07339246571063995
0.4808783233165741,0.21602527797222137
0.4471268057823181,0.3382963240146637
0.3907470703125,0.44434985518455505
0.31233447790145874,0.5370811223983765
0.21462976932525635,0.6013514995574951
0.09552813321352005,0.6375722289085388
-0.03861593082547188,0.6452341079711914
-0.17533555626869202,0.6121786832809448
-0.3090786635875702,0.5339597463607788
-0.41317084431648254,0.41149306297302246
-0.47361379861831665,0.26412510871887207
-0.49936482310295105,0.1094639003276825
-0.49808135628700256,-0.031171947717666626
-0.47422653436660767,-0.15403205156326294
-0.4310307204723358,-0.2610291838645935
-0.3749901056289673,-0.34869351983070374
-0.31313562393188477,-0.4120563566684723
-0.25197508931159973,-0.45288974046707153
-0.1985335350036621,-0.4775966703891754
-0.15602658689022064,-0.4923599660396576
