Buenard-Regular,Q
Oxygen-Bold,Q
-0.05033157020807266,-0.5148183107376099
0.02535867877304554,-0.5190708041191101
0.09430048614740372,-0.5063665509223938
0.18579676747322083,-0.48639345169067383
0.2611905336380005,-0.452407568693161
0.32895877957344055,-0.39761683344841003
0.39499974250793457,-0.3129724860191345
0.4540709853172302,-0.19948340952396393
0.48926597833633423,-0.07534396648406982
0.4957723319530487,0.06511984020471573
0.4815199375152588,0.20690585672855377
0.4491522014141083,0.3286393880844116
0.39481934905052185,0.434512197971344
0.3184582591056824,0.5268636345863342
0.2226797342300415,0.5912556648254395
0.10532324761152267,0.628276526927948
-0.03059120662510395,0.6385700702667236
-0.17030346393585205,0.608046293258667
-0.30617013573646545,0.5314910411834717
-0.4114837348461151,0.41052114963531494
-0.4723699688911438,0.2643265426158905
-0.49861422181129456,0.1094856709241867
-0.4980311691761017,-0.032295480370521545
-0.47482866048812866,-0.15638931095600128
-0.4321483075618744,-0.2643027901649475
-0.37646958231925964,-0.3526751697063446
-0.3148265480995178,-0.4165385663509369
-0.25379329919815063,-0.4576651453971863
-0.20047566294670105,-0.48256513476371765
-0.15811897814273834,-0.49749958515167236
