Buenard-Regular,Q
Oxygen-Bold,Q
-0.04719044268131256,-0.5045883059501648
0.017149994149804115,-0.5090296864509583
0.08824567496776581,-0.49573925137519836
0.18030059337615967,-0.47575876116752625
0.25609251856803894,-0.44154268503189087
0.3246770203113556,-0.3860182464122772
0.3921961784362793,-0.29995980858802795
0.4530583918094635,-0.18472610414028168
0.4892476499080658,-0.05935361608862877
0.4956304430961609,0.0822928324341774
0.48007670044898987,0.22572854161262512
0.4448041021823883,0.34843724966049194
0.38625332713127136,0.454658567905426
0.3057542145252228,0.5476730465888977
0.20613837242126465,0.6115001440048218
0.0855778306722641,0.6465437412261963
-0.0464208722114563,0.6514937877655029
-0.18022552132606506,0.6161503791809082
-0.31186893582344055,0.5363844633102417
-0.41474011540412903,0.4124772548675537
-0.47476476430892944,0.2638821601867676
-0.5000377893447876,0.10928403586149216
-0.4980549216270447,-0.03030182048678398
-0.473524272441864,-0.15197691321372986
-0.42977747321128845,-0.25806888937950134
-0.3733520805835724,-0.3449892997741699
-0.3112771213054657,-0.40778571367263794
-0.25000375509262085,-0.4482644200325012
-0.19647428393363953,-0.4727354049682617
-0.15385876595973969,-0.4872998893260956
