Scada-Bold,S
Cookie-Regular,S
-0.027041099965572357,-0.45243072509765625
0.11383379250764847,-0.4594717025756836
0.2649866044521332,-0.41166266798973083
0.3110107183456421,-0.28816547989845276
0.32719582319259644,-0.15291628241539001
0.2968100309371948,-0.00771821616217494
0.1942570060491562,0.1409701257944107
0.003561738645657897,0.041983712464571
-0.1808924525976181,-0.08972401916980743
-0.05348920449614525,0.004867030773311853
0.051977939903736115,0.07257470488548279
0.14448916912078857,0.12450238317251205
0.23109763860702515,0.2011100947856903
0.27103790640830994,0.30782705545425415
0.2526950538158417,0.4297735393047333
0.184121236205101,0.533451497554779
0.08247549831867218,0.5916439294815063
-0.03528931364417076,0.6112185716629028
-0.14791935682296753,0.6015424728393555
-0.23954518139362335,0.5717294812202454
-0.2994571924209595,0.5291073322296143
-0.3248932361602783,0.46557459235191345
-0.31857770681381226,0.37295034527778625
-0.28428295254707336,0.2654455602169037
-0.24168704450130463,0.1336207091808319
-0.2228078991174698,-0.04063371196389198
-0.226075679063797,-0.21021537482738495
-0.21927538514137268,-0.3142779767513275
-0.18740221858024597,-0.3681619167327881
-0.1447605937719345,-0.3996661901473999
