Scada-Bold,S
Cookie-Regular,S
-0.02387283742427826,-0.41476359963417053
0.10623054951429367,-0.42303940653800964
0.25136327743530273,-0.37455636262893677
0.29479941725730896,-0.2509024143218994
0.30908140540122986,-0.11830227077007294
0.27031874656677246,0.025137456133961678
0.1669013351202011,0.1575312465429306
-0.0530855692923069,0.01972963474690914
-0.15554985404014587,-0.06267941743135452
-0.028965502977371216,0.04010050371289253
0.06505008041858673,0.09742581099271774
0.15634945034980774,0.15318968892097473
0.23772698640823364,0.23374776542186737
0.2663956582546234,0.34173229336738586
0.23566988110542297,0.46086248755455017
0.15842989087104797,0.5566941499710083
0.0526079498231411,0.605553150177002
-0.06264951080083847,0.6180964112281799
-0.16853652894496918,0.6031179428100586
-0.2525436282157898,0.5713355541229248
-0.3054490089416504,0.5279373526573181
-0.3255752623081207,0.4619400203227997
-0.3144199550151825,0.370185524225235
-0.2774391770362854,0.266550749540329
-0.23487326502799988,0.13812817633152008
-0.21645280718803406,-0.02988734096288681
-0.21810577809810638,-0.18816383183002472
-0.20872293412685394,-0.2829726040363312
-0.17569221556186676,-0.33250799775123596
-0.13349558413028717,-0.36210253834724426
