Scada-Bold,S
Cookie-Regular,S
-0.02977938950061798,-0.47028666734695435
0.11726372689008713,-0.47722962498664856
0.2712293565273285,-0.42898303270339966
0.31864285469055176,-0.3052593171596527
0.3354303240776062,-0.16840651631355286
0.30785536766052246,-0.021394139155745506
0.20581676065921783,0.1320633888244629
0.027796363458037376,0.04862347990274429
-0.18932701647281647,-0.09851974248886108
-0.06545911729335785,-0.010344550013542175
0.04732947424054146,0.0617789700627327
0.1413896083831787,0.11205234378576279
0.22943957149982452,0.18749457597732544
0.2731133997440338,0.2938570976257324
0.2593483030796051,0.4172416031360626
0.19430013000965118,0.523308277130127
0.09463712573051453,0.584886372089386
-0.023912973701953888,0.6071343421936035
-0.13974162936210632,0.5997575521469116
-0.23459096252918243,0.5708669424057007
-0.29719075560569763,0.5283122062683105
-0.3244015872478485,0.4651559591293335
-0.31972187757492065,0.37155839800834656
-0.28631845116615295,0.2611793875694275
-0.24410955607891083,0.1256236433982849
-0.22613704204559326,-0.05352837219834328
-0.23046526312828064,-0.22744981944561005
-0.2240835279226303,-0.3334735035896301
-0.1921335905790329,-0.38816478848457336
-0.1492973268032074,-0.41992518305778503
