Mplus1p-Bold,R
Prompt-Italic,R
-0.1354895383119583,-0.5553756952285767
0.19391919672489166,-0.5516520738601685
0.3544051945209503,-0.4954356551170349
0.433077871799469,-0.3776543140411377
0.44007715582847595,-0.24084226787090302
0.3939972519874573,-0.0927431583404541
0.2688044309616089,0.021903982385993004
0.09474067389965057,0.06346307694911957
-0.1664103865623474,0.05727262422442436
-0.15726009011268616,0.05840051546692848
0.052720844745635986,0.059649668633937836
0.10926620662212372,0.10427281260490417
0.20166365802288055,0.3238495886325836
0.27295762300491333,0.5203282237052917
0.34848344326019287,0.5923932194709778
0.29773393273353577,0.5558040738105774
0.23683401942253113,0.42834118008613586
0.1685268133878708,0.4169548451900482
0.03057391382753849,0.4790723919868469
-0.11952681094408035,0.5206424593925476
-0.25393855571746826,0.5148351788520813
-0.3489953279495239,0.5004099011421204
-0.4042012393474579,0.5455746054649353
-0.4262504577636719,0.5925375819206238
-0.40101808309555054,0.5427522659301758
-0.3715275228023529,0.3740299940109253
-0.3229619860649109,0.12477739155292511
-0.2753180265426636,-0.19428293406963348
-0.24596074223518372,-0.44553759694099426
-0.22056199610233307,-0.5293329954147339
