Mplus1p-Bold,R
Prompt-Italic,R
-0.180852010846138,-0.5706319808959961
0.12482188642024994,-0.5674843788146973
0.27760544419288635,-0.5145190358161926
0.3633876442909241,-0.4031018316745758
0.3819939196109772,-0.26839014887809753
0.35214510560035706,-0.11770832538604736
0.2517562806606293,0.00028833746910095215
0.09747741371393204,0.04476601630449295
-0.1618535965681076,0.04357825964689255
-0.17145858705043793,0.04367542639374733
0.022431015968322754,0.043115098029375076
0.09269995987415314,0.05030825361609459
0.1791396290063858,0.2006508708000183
0.2683817148208618,0.42845189571380615
0.3325634300708771,0.5481745004653931
0.33887046575546265,0.5500916838645935
0.27603650093078613,0.4477735757827759
0.20884203910827637,0.41339197754859924
0.08821225166320801,0.4599420130252838
-0.05759095773100853,0.5094650387763977
-0.19742433726787567,0.5176918506622314
-0.3001386523246765,0.49823570251464844
-0.34887510538101196,0.5150583386421204
-0.3596648871898651,0.5518261194229126
-0.3569708466529846,0.49607357382774353
-0.33927395939826965,0.3013327121734619
-0.310604989528656,0.007575881201773882
-0.29864147305488586,-0.3113761246204376
-0.28831472992897034,-0.486225962638855
-0.2659955322742462,-0.5437135100364685
