Dhyana-Bold,Y
Cabin[wdth,wght],Y
-0.0031023577321320772,0.5101541876792908
-0.011754932813346386,0.14761129021644592
0.4081011116504669,-0.6467455625534058
0.4738786518573761,-0.7316792607307434
0.3857937455177307,-0.6906578540802002
0.3849104344844818,-0.6272512674331665
0.31559255719184875,-0.48865577578544617
0.23732848465442657,-0.30088144540786743
0.16148506104946136,-0.13884307444095612
0.10313408076763153,-0.04410860687494278
0.06558440625667572,0.005564189050346613
0.038531143218278885,0.032707422971725464
0.012594680301845074,0.04785165935754776
-0.01310461014509201,0.053328968584537506
-0.038378529250621796,0.04718466103076935
-0.06519003957509995,0.025582818314433098
-0.09660222381353378,-0.016775472089648247
-0.1361713856458664,-0.08585219085216522
-0.18721888959407806,-0.18637703359127045
-0.24941998720169067,-0.3163837790489197
-0.3127327263355255,-0.457956463098526
-0.3601246774196625,-0.5701285600662231
-0.3891151249408722,-0.6369601488113403
-0.4110713303089142,-0.6797482967376709
-0.43607476353645325,-0.7132204174995422
-0.4694163501262665,-0.7322779893875122
-0.5044684410095215,-0.7402200102806091
-0.5109526515007019,-0.7404922842979431
-0.4666345417499542,-0.7334821224212646
-0.3926298916339874,-0.7253287434577942
