Dhyana-Bold,Y
Cabin[wdth,wght],Y
-0.0028226766735315323,0.5044870376586914
-0.011577081866562366,0.15393102169036865
0.40708839893341064,-0.6552961468696594
0.4760785400867462,-0.7419607639312744
0.38014525175094604,-0.703450083732605
0.3856166899204254,-0.6402201652526855
0.3165417015552521,-0.5012743473052979
0.23943237960338593,-0.30905571579933167
0.16464567184448242,-0.14257703721523285
0.10674338787794113,-0.046448417007923126
0.06860240548849106,0.003785346169024706
0.04007755219936371,0.03131406009197235
0.012209836393594742,0.04662475734949112
-0.015105456113815308,0.05190348997712135
-0.04158846661448479,0.04513240233063698
-0.0694514587521553,0.022318396717309952
-0.1020311713218689,-0.022271232679486275
-0.14319242537021637,-0.09527522325515747
-0.19631007313728333,-0.20189940929412842
-0.2599644362926483,-0.3385777771472931
-0.3221960961818695,-0.48322349786758423
-0.3667777478694916,-0.5931713581085205
-0.3938431143760681,-0.6572273373603821
-0.41602203249931335,-0.7002871036529541
-0.4448436498641968,-0.7308074831962585
-0.48636704683303833,-0.7454695105552673
-0.5263382792472839,-0.750541627407074
-0.5195595026016235,-0.7479864954948425
-0.4475610852241516,-0.7381910085678101
-0.3545670509338379,-0.7306206822395325
