OpenSansCondensed-Bold,C
CreteRound-Regular,C
0.3998320698738098,0.4540309011936188
0.41015198826789856,0.4323911964893341
0.4045819640159607,0.4424927532672882
0.37312331795692444,0.5018325448036194
0.3281460702419281,0.538929283618927
0.25613850355148315,0.5638125538825989
0.16207262873649597,0.5808520317077637
0.04965825006365776,0.5829317569732666
-0.0780269205570221,0.5632736682891846
-0.19279097020626068,0.5028073787689209
-0.2811252474784851,0.4029028117656708
-0.3369045555591583,0.27654314041137695
-0.3652077913284302,0.12582740187644958
-0.3692343831062317,-0.024383077397942543
-0.34857237339019775,-0.15681447088718414
-0.30487143993377686,-0.27370408177375793
-0.24396859109401703,-0.3709152936935425
-0.17633377015590668,-0.4401411712169647
-0.11141733080148697,-0.4833584427833557
-0.04992564395070076,-0.5092772841453552
0.01887419819831848,-0.5254154205322266
0.10055889189243317,-0.5312179327011108
0.18552719056606293,-0.5222093462944031
0.2618879973888397,-0.5002408623695374
0.3216650187969208,-0.47057008743286133
0.3626194894313812,-0.4384365379810333
0.3867685794830322,-0.40653926134109497
0.3985327482223511,-0.37536340951919556
0.40294167399406433,-0.34436699748039246
0.4046824872493744,-0.3095085918903351
